Plant Name,Stage,Start Day,End Day,Recommended Fertilizer
Tomato,Land Preparation,,,Organic compost or well-rotted manure
Tomato,Planting,,,10-10-10 NPK blend
Tomato,Early Growth,10.0,20.0,"Nitrogen-rich fertilizers (e.g., urea or ammonium nitrate)"
Tomato,Mid-Growth,20.0,40.0,"Balanced fertilizer with higher phosphorus content (e.g., 10-20-10 NPK blend)"
Tomato,Late Growth,40.0,60.0,Balanced fertilizers or potassium-rich fertilizer like potassium sulfate
Tomato,Fruiting,60.0,80.0,"Potassium-rich fertilizers (e.g., potassium chloride or potassium sulfate)"
Tomato,Harvest,,,Cease fertilization
Potato,Land Preparation,,,Organic compost or well-rotted manure
Potato,Planting,,,Balanced fertilizer such as 10-10-10 NPK blend
Potato,Early Growth,10.0,20.0,Nitrogen-rich fertilizers like urea or ammonium nitrate
Potato,Mid-Growth,20.0,40.0,"Balanced fertilizer with higher phosphorus content, such as 10-20-10 NPK blend"
Potato,Late Growth,40.0,60.0,Balanced fertilizers or potassium-rich fertilizer like potassium sulfate
Potato,Fruiting,60.0,80.0,Potassium-rich fertilizers such as potassium chloride or potassium sulfate
Potato,Harvest,,,Cease fertilization
Sugarcane,Land Preparation,,,Organic compost or well-rotted manure
Sugarcane,Planting,,,Balanced fertilizer such as 15-15-15 NPK blend
Sugarcane,Early Growth,10.0,20.0,Nitrogen-rich fertilizers like urea or ammonium nitrate
Sugarcane,Mid-Growth,20.0,40.0,"Balanced fertilizer with higher phosphorus content, such as 10-20-10 NPK blend"
Sugarcane,Late Growth,40.0,60.0,Balanced fertilizers or potassium-rich fertilizer like potassium sulfate
Sugarcane,Maturity,60.0,80.0,Potassium-rich fertilizers such as potassium chloride or potassium sulfate
Sugarcane,Harvest,,,Cease fertilization
Chilli,Land Preparation,,,Organic compost or well-rotted manure
Chilli,Planting,,,Balanced fertilizer such as 10-10-10 NPK blend
Chilli,Early Growth,10.0,20.0,Nitrogen-rich fertilizers like urea or ammonium nitrate
Chilli,Mid-Growth,20.0,40.0,"Balanced fertilizer with higher phosphorus content, such as 10-20-10 NPK blend"
Chilli,Late Growth,40.0,60.0,Balanced fertilizers or potassium-rich fertilizer like potassium sulfate
Chilli,Fruiting,60.0,80.0,Potassium-rich fertilizers such as potassium chloride or potassium sulfate
Chilli,Harvest,,,Cease fertilization
Cotton,Land Preparation,,,Organic compost or well-rotted manure
Cotton,Planting,,,Balanced fertilizer such as 15-15-15 NPK blend
Cotton,Early Growth,10.0,20.0,Nitrogen-rich fertilizers like urea or ammonium nitrate
Cotton,Mid-Growth,20.0,40.0,"Balanced fertilizer with higher potassium content, such as 10-10-30 NPK blend"
Cotton,Late Growth,40.0,60.0,Balanced fertilizers or phosphorus-rich fertilizer like superphosphate
Cotton,Boll Development,60.0,80.0,Potassium-rich fertilizers such as potassium sulfate
Cotton,Harvest,,,Cease fertilization
Papaya,Land Preparation,,,Organic compost or well-rotted manure
Papaya,Planting,,,Balanced fertilizer such as 10-10-10 NPK blend
Papaya,Early Growth,10.0,20.0,Nitrogen-rich fertilizers like urea or ammonium nitrate
Papaya,Mid-Growth,20.0,40.0,"Balanced fertilizer with higher phosphorus content, such as 10-20-10 NPK blend"
Papaya,Late Growth,40.0,60.0,Balanced fertilizers or potassium-rich fertilizer like potassium sulfate
Papaya,Fruiting,60.0,90.0,Potassium-rich fertilizers such as potassium chloride or potassium sulfate
Papaya,Harvest,,,Cease fertilization
Mango,Land Preparation,,,Organic compost or well-rotted manure
Mango,Planting,,,Balanced fertilizer such as 10-10-10 NPK blend
Mango,Early Growth,10.0,20.0,Nitrogen-rich fertilizers like urea or ammonium nitrate
Mango,Mid-Growth,20.0,40.0,"Balanced fertilizer with higher phosphorus content, such as 10-20-10 NPK blend"
Mango,Late Growth,40.0,60.0,Balanced fertilizers or potassium-rich fertilizer like potassium sulfate
Mango,Fruiting,60.0,90.0,Potassium-rich fertilizers such as potassium chloride or potassium sulfate
Mango,Harvest,,,Cease fertilization
Rice,Land Preparation,,,Organic matter incorporation and basal application of fertilizers like farmyard manure or compost
Rice,Planting,,,"Application of basal fertilizers like urea, single superphosphate, and muriate of potash"
Rice,Early Growth,10.0,20.0,Application of nitrogenous fertilizers like urea to promote tillering and vegetative growth
Rice,Mid-Growth,20.0,40.0,Application of phosphatic fertilizers like diammonium phosphate (DAP) and potassic fertilizers like muriate of potash (MOP) to support panicle initiation and development
Rice,Late Growth,40.0,60.0,Continued application of nitrogenous fertilizers like urea to support grain filling and development of the panicles
Rice,Fruiting,60.0,90.0,"Application of balanced fertilizers containing nitrogen, phosphorus, and potassium (NPK) to support grain filling and maturation"
Rice,Harvest,90.0,120.0,Cease fertilization to allow the rice grains to fully mature
Maize,Land Preparation,,,Organic matter incorporation such as compost or well-rotted manure
Maize,Planting,,,Balanced fertilizer such as 10-10-10 NPK blend
Maize,Early Growth,10.0,20.0,Nitrogen-rich fertilizers like urea or ammonium nitrate
Maize,Mid-Growth,20.0,40.0,Balanced fertilizers with higher phosphorus content to support root development
Maize,Late Growth,40.0,60.0,Continued application of balanced fertilizers or potassium-rich fertilizers like potassium sulfate
Maize,Grain Filling,60.0,80.0,Potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote grain filling
Maize,Harvest,,,Cease fertilization to allow maize kernels to fully ripen
Wheat,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to improve soil structure and fertility
Wheat,Seedbed Preparation,,,Application of basal fertilizers like di-ammonium phosphate (DAP) or single superphosphate to provide essential nutrients for seed germination and early root development
Wheat,Sowing,,,Application of nitrogenous fertilizers like urea or ammonium sulfate to promote initial vegetative growth and tillering
Wheat,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea to support rapid vegetative growth and tillering during this critical stage
Wheat,Mid-Growth,20.0,40.0,"Continued application of nitrogenous fertilizers along with phosphatic fertilizers like diammonium phosphate (DAP) to support stem and leaf development, as well as root growth"
Wheat,Late Growth,40.0,60.0,"Application of balanced fertilizers containing nitrogen, phosphorus, and potassium (NPK) to promote overall plant health, tillering, and grain development"
Wheat,Heading,60.0,80.0,Continued application of balanced fertilizers with a focus on nitrogen to support grain filling and development of the wheat head
Wheat,Grain Filling,80.0,100.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote grain filling and enhance grain quality
Wheat,Harvest,,,Cease fertilization to allow the wheat grains to mature fully
Groundnut,Land Preparation,,,Organic matter incorporation such as compost or well-rotted manure
Groundnut,Planting,,,Balanced fertilizer such as 10-10-10 NPK blend
Groundnut,Early Growth,10.0,20.0,Nitrogen-rich fertilizers like urea or ammonium nitrate
Groundnut,Mid-Growth,20.0,40.0,Balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Groundnut,Late Growth,40.0,60.0,Continued application of balanced fertilizers or potassium-rich fertilizers like potassium sulfate
Groundnut,Pod Development,60.0,90.0,Potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote pod development and filling
Groundnut,Harvest,,,Cease fertilization to allow groundnut pods to fully mature
Watermelon,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Watermelon,Seedbed Preparation,,,"Application of basal fertilizers like urea, single superphosphate, and muriate of potash"
Watermelon,Transplanting,,,"Application of nitrogenous fertilizers like urea and ammonium sulfate, along with phosphatic fertilizers like diammonium phosphate (DAP) and potassic fertilizers like muriate of potash (MOP)"
Watermelon,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Watermelon,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Watermelon,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support reproductive growth and fruit development
Watermelon,Fruiting,60.0,90.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Watermelon,Harvest,,,Cease fertilization to allow watermelons to fully ripen
Muskmelon,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Muskmelon,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Muskmelon,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Muskmelon,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Muskmelon,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and fruit formation
Muskmelon,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Muskmelon,Harvest,,,Cease fertilization to allow muskmelons to fully ripen
Pomegranate,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Pomegranate,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Pomegranate,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Pomegranate,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Pomegranate,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and fruit formation
Pomegranate,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Pomegranate,Harvest,,,Cease fertilization to allow pomegranates to fully ripen
Lemon,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Lemon,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Lemon,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Lemon,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Lemon,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and fruit formation
Lemon,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Lemon,Harvest,,,Cease fertilization to allow lemons to fully ripen
Sunflower,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Sunflower,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Sunflower,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Sunflower,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Sunflower,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and fruit formation
Sunflower,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Sunflower,Harvest,,,Cease fertilization to allow sunflower seeds to fully ripen
Rose,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Rose,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Rose,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Rose,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Rose,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and bud formation
Rose,Flowering,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote flower development and maturation
Rose,Harvest,,,Cease fertilization to allow roses to fully bloom and mature
Sapota,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Sapota,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Sapota,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Sapota,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Sapota,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and fruit formation
Sapota,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Sapota,Harvest,,,Cease fertilization to allow sapotas to fully ripen
Brinjal,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Brinjal,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Brinjal,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Brinjal,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Brinjal,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and fruit formation
Brinjal,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Brinjal,Harvest,,,Cease fertilization to allow Brinjals to fully ripen
Banana,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Banana,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Banana,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Banana,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Banana,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and fruit formation
Banana,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Banana,Harvest,,,Cease fertilization to allow bananas to fully ripen
Apple,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Apple,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Apple,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Apple,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Apple,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and fruit formation
Apple,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Apple,Harvest,,,Cease fertilization to allow apples to fully ripen
Sweet Lemon,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Sweet Lemon,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Sweet Lemon,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Sweet Lemon,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Sweet Lemon,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and fruit formation
