Plant Name,Stage,Start Day,End Day,Recommended Fertilizer
Sweet Lemon,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Sweet Lemon,Harvest,,,Cease fertilization to allow Mosambi fruits to fully ripen
Guava,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Guava,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Guava,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Guava,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Guava,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and fruit formation
Guava,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Guava,Harvest,,,Cease fertilization to allow guavas to fully ripen
Mustard,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Mustard,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Mustard,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Mustard,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Mustard,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and pod formation
Mustard,Pod Development,60.0,90.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote pod development and maturation
Mustard,Harvest,,,Cease fertilization to allow mustard pods to fully ripen
Finger Millet,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Finger Millet,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Finger Millet,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Finger Millet,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Finger Millet,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and grain formation
Finger Millet,Grain Development,60.0,90.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote grain development and maturation
Finger Millet,Harvest,,,Cease fertilization to allow Finger millet grains to fully ripen
Pearl Millet,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Pearl Millet,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Pearl Millet,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Pearl Millet,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Pearl Millet,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and fruit formation
Pearl Millet,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Pearl Millet,Harvest,,,Cease fertilization to allow pearl millets to fully ripen
Cowpea,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Cowpea,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Cowpea,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Cowpea,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Cowpea,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and pod formation
Cowpea,Pod Development,60.0,90.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote pod development and maturation
Cowpea,Harvest,,,Cease fertilization to allow cowpea pods to fully mature
Carrot,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Carrot,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Carrot,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Carrot,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Carrot,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and root development
Carrot,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote carrot development and maturation
Carrot,Harvest,,,Cease fertilization to allow carrots to fully mature
Cabbage,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Cabbage,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Cabbage,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Cabbage,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Cabbage,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and head formation
Cabbage,Harvest,,,Cease fertilization to allow cabbage heads to fully mature
Cauliflower,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Cauliflower,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Cauliflower,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Cauliflower,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Cauliflower,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and head formation
Cauliflower,Head Formation,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote head development and maturation
Cauliflower,Harvest,,,Cease fertilization to allow cauliflower heads to fully mature
Beetroot,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Beetroot,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Beetroot,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Beetroot,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Beetroot,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and root development
Beetroot,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Beetroot,Harvest,,,Cease fertilization to allow beetroot to fully ripen
Grapes,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Grapes,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Grapes,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Grapes,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Grapes,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and fruit formation
Grapes,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Grapes,Harvest,,,Cease fertilization to allow grapes to fully ripen
Onion,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Onion,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Onion,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Onion,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Onion,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and bulb formation
Onion,Bulb Formation,60.0,90.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote bulb development and maturation
Onion,Harvest,,,Cease fertilization to allow onions to fully mature
Cucumber,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Cucumber,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Cucumber,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Cucumber,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Cucumber,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and fruit formation
Cucumber,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Cucumber,Harvest,,,Cease fertilization to allow cucumbers to fully ripen
Okra,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Okra,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Okra,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Okra,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Okra,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and fruit formation
Okra,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote fruit development and maturation
Okra,Harvest,,,Cease fertilization to allow okra pods to fully ripen
Ginger,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Ginger,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Ginger,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Ginger,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Ginger,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and rhizome formation
Ginger,Fruiting,60.0,80.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote rhizome development and maturation
Ginger,Harvest,,,Cease fertilization to allow ginger rhizomes to fully mature
Black gram,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Black gram,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Black gram,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Black gram,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Black gram,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and pod formation
Black gram,Pod Development,60.0,90.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote pod development and filling
Black gram,Harvest,,,Cease fertilization to allow Black gram pods to fully ripen
Green gram,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Green gram,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Green gram,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Green gram,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Green gram,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and pod formation
Green gram,Pod Development,60.0,90.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote pod development and filling
Green gram,Harvest,,,Cease fertilization to allow green gram pods to fully ripen
Red gram,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Red gram,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Red gram,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Red gram,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Red gram,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and pod formation
Red gram,Pod Development,60.0,90.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote pod development and maturation
Red gram,Harvest,,,Cease fertilization to allow red gram pods to fully ripen
Pigeon pea,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Pigeon pea,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Pigeon pea,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Pigeon pea,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Pigeon pea,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and pod formation
Pigeon pea,Pod Development,60.0,90.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote pod development and filling
Pigeon pea,Harvest,,,Cease fertilization to allow pigeon pea pods to fully mature
Turmeric,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Turmeric,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for rhizome growth
Turmeric,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Turmeric,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Turmeric,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and rhizome formation
Turmeric,Rhizome Development,60.0,90.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote rhizome development and maturation
Turmeric,Harvest,,,Cease fertilization to allow turmeric rhizomes to fully mature
